state,action,reward,next_state,reward_detail
214|346|93|132|423|283,481|348|170,1,346|93|132|423|283|170,[0 0 1]
287|468|139|160|307|162,465|118|307,1,468|139|160|307|162|307,[0 0 1]
206|82|102|313|398|40,47|341|224,1,82|102|313|398|40|47,[1 0 0]
147|138|0|261|468|108,316|434|376,5,138|0|261|468|108|316,[5 0 0]
303|8|171|350|201|161,113|289|142,1,8|171|350|201|161|113,[1 0 0]
11|14|363|245|77|432,106|142|25,2,363|245|77|432|106|142,[1 1 0]
47|219|67|258|478|436,220|166|123,1,219|67|258|478|436|166,[0 1 0]
6|495|120|16|179|285,224|246|213,0,6|495|120|16|179|285,[0 0 0]
131|214|262|297|113|230,177|427|380,1,214|262|297|113|230|427,[0 1 0]
290|398|113|193|221|140,429|109|345,5,398|113|193|221|140|109,[0 5 0]
5|153|211|26|85|64,8|436|260,7,26|85|64|8|436|260,[5 1 1]
373|350|76|411|56|202,469|180|16,6,76|411|56|202|180|16,[0 1 5]
493|115|362|226|207|310,194|400|342,1,115|362|226|207|310|342,[0 0 1]
399|35|45|298|95|122,482|17|123,1,35|45|298|95|122|17,[0 1 0]
339|272|44|306|101|300,106|98|36,5,272|44|306|101|300|98,[0 5 0]
289|319|10|338|76|51,429|277|330,2,10|338|76|51|429|330,[1 0 1]
267|68|142|165|241|247,114|267|187,2,142|165|241|247|114|267,[1 1 0]
385|412|24|359|220|406,120|285|113,10,24|359|220|406|120|285,[5 5 0]
245|210|344|194|187|303,366|399|384,2,344|194|187|303|366|384,[1 0 1]
106|293|107|444|105|153,79|323|170,1,293|107|444|105|153|170,[0 0 1]
167|77|265|480|390|119,181|332|365,11,480|390|119|181|332|365,[5 1 5]
92|32|129|388|274|355,379|143|498,7,388|274|355|379|143|498,[1 5 1]
436|365|470|179|54|192,67|297|57,0,436|365|470|179|54|192,[0 0 0]
305|346|125|458|160|209,267|464|422,1,346|125|458|160|209|422,[0 0 1]
341|179|390|370|126|352,7|262|433,6,390|370|126|352|262|433,[0 5 1]
18|169|185|312|267|491,404|266|18,1,169|185|312|267|491|18,[0 0 1]
410|16|350|463|13|347,66|399|352,2,350|463|13|347|66|399,[1 1 0]
442|124|146|433|443|233,447|395|317,5,124|146|433|443|233|395,[0 5 0]
345|161|409|213|204|377,296|471|268,1,161|409|213|204|377|471,[0 1 0]
456|432|413|371|263|152,7|406|32,1,432|413|371|263|152|32,[0 0 1]
468|110|139|118|393|330,410|81|261,5,110|139|118|393|330|410,[5 0 0]
183|130|2|440|160|478,169|44|363,2,2|440|160|478|169|363,[1 0 1]
269|92|99|179|34|409,70|400|224,0,269|92|99|179|34|409,[0 0 0]
498|185|4|109|18|294,158|220|71,6,4|109|18|294|220|71,[0 5 1]
82|69|394|176|102|181,82|415|241,1,69|394|176|102|181|82,[1 0 0]
355|358|256|114|262|479,66|124|450,5,358|256|114|262|479|66,[5 0 0]
185|193|128|143|209|339,52|208|188,1,193|128|143|209|339|188,[0 0 1]
158|234|478|80|339|231,59|237|488,2,478|80|339|231|59|237,[1 1 0]
266|345|294|122|390|353,182|376|410,2,294|122|390|353|182|376,[1 1 0]
